"year_of_first_job","industry","school_graduated","sex","monthly_salary_unadjusted","cumulative_inflation","monthly_salary_adjusted","offer_negotiated","other_details"
2019,"Healthcare","Other universities","Female",20000,1.08,21600,"No","basic pay is 20000, also had Benefits (SSS, PAGBIBIG, PHILHEATLH) tho HMO are not included. no work no pay. until now there's no salary increase. "
2019,"Academe & Education","Other universities","Male",15000,1.08,16200,"No","15,000 with 10% tax"
2012,"Advertising","University of the Philippines - Diliman","Male",13000,1.3014,16918.2,"No","I didn't know how to. I also thought it was the ""industry standard"". "
2016,"Media and Communication","Ateneo de Manila University","Male",20000,1.183,23660,"No",""
2017,"Technology","Ateneo de Manila University","Not specified/Unclear",34000,1.168,39712,"No",""
2015,"Food","University of Santos Tomas","Female",12000,1.191,14292,"No",""
2017,"Consulting","Ateneo de Manila University","Female",35000,1.168,40880,"No",""
2016,"Food","Other universities","Female",13000,1.183,15379,"No","I became the Team Lead after a year but there was no increase in salary. Was there an any increase in my workload? Definitely yes. Sad."
2015,"Construction and Engineering","University of the Philippines - Diliman","Female",15000,1.191,17865,"No",""
2014,"Retail","Other universities","Female",4000,1.234,4936,"No","The business I worked for was run by a blood relative, my aunt (my father's sister)."
2014,"Technology","Other universities","Male",14000,1.234,17276,"No",""
2019,"Academe & Education","Other universities","Female",15000,1.08,16200,"No","HEI located in a province, unlicensed [initially] and no masters degree (which is a standard to work in a HEI level)."
2020,"Manufacturing","Other universities","Female",15000,1.053,15795,"No","I did not but I am currently pushing for increase of my hazard pay since I am a licensed Chemical Technician. "
2010,"Business Process Outsourcing","Other universities","Female",14500,1.417,20546.5,"No","Tech accounts in BPOs paid higher then, but the selection process was tough too. The contract said around 18k but with taxes and all I was only earning around 13,500 -14,500 a month"
2015,"Other industries","University of the Philippines - Diliman","Female",18000,1.191,21438,"No",""
2019,"Technology","N/A (Unspecified)","Not specified/Unclear",25000,1.08,27000,"Unspecified",""
2019,"Non-Government Organization","Ateneo System University","Female",15000,1.08,16200,"No",""
2015,"Other industries","Other universities","Male",10500,1.191,12505.5,"No",""
2012,"Manufacturing","Other universities","Male",25000,1.3014,32535,"No",""
2014,"Government","Other universities","Male",26878,1.234,33167.452,"No",""
2010,"Technology","De La Salle University - Manila","Male",24500,1.417,34716.5,"Yes",""
2012,"Technology","N/A (Unspecified)","Male",24000,1.3014,31233.6,"No",""
2018,"Non-Government Organization","Other universities","Female",18000,1.136,20448,"No","We are an incentive-based job so for every transaction or every construction company or NGO we help sign up for the compant is an incentive to us. Also for every successful transaction gives us an incentive. But we are an Australian-based company so we get higher basic pays. That is aside from the basic pay."
2018,"Finance","Ateneo de Manila University","Male",22000,1.136,24992,"No","HR specialist gave the salary first before she would give any details about the job offer. I really wanted a job at the time (been applying to companies for a whole month) so I just said yes to the salary."
2018,"Retail","Other universities","Female",18000,1.136,20448,"No",""
2018,"Utilities","University of the Philippines - Diliman","Male",45000,1.136,51120,"No",""
2019,"Utilities","University of the Philippines - Los Baños","Male",22000,1.08,23760,"No",""
2019,"Technology","Other universities","Female",18000,1.08,19440,"No",""
2011,"Logistics","Other universities","Female",12000,1.365,16380,"No",""
2018,"Media and Communication","Other universities","Female",13000,1.136,14768,"Yes","It was not until our first paycheck that our salary was disclosed to us. "
2019,"Other industries","De La Salle University - Manila","Female",35000,1.08,37800,"No",""
2017,"Retail","Other universities","Female",15000,1.168,17520,"No",""
2016,"Accounting","Polytechnic University of the Philippines - Manila","Female",18000,1.183,21294,"No",""
2011,"Advertising","University of Santos Tomas","Female",16000,1.365,21840,"No",""
2012,"Business Process Outsourcing","UP System University","Female",12000,1.3014,15616.8,"No",""
2018,"Research","Ateneo de Manila University","Male",26000,1.136,29536,"No","It was contractual and only lasted me 5 months."
2011,"Business Process Outsourcing","University of Santos Tomas","Female",16000,1.365,21840,"No","Salary package is standard and published. First job offer includes signup bonus equivalent to 1 month's salary."
2016,"Construction and Engineering","De La Salle University - Manila","Male",18000,1.183,21294,"No",""
2017,"Media and Communication","University of the Philippines - Diliman","Female",20000,1.168,23360,"No",""
2015,"Media and Communication","University of the Philippines - Diliman","Female",15000,1.191,17865,"No","Company was start-up, salary was not negotiable. Closed down after a year but my connections thru the company gave me rakets. "
2018,"Real Estate","University of the Philippines - Diliman","Female",35000,1.136,39760,"Yes",""
2019,"Finance","Ateneo de Manila University","Male",23000,1.08,24840,"No",""
2016,"Arts and Design","Other universities","Male",10000,1.183,11830,"No",""
2018,"Technology","Ateneo de Manila University","Male",65000,1.136,73840,"No","Role was for an early talent management trainee program"
2012,"Media and Communication","Ateneo de Manila University","Female",18000,1.3014,23425.2,"No",""
2014,"Manufacturing","Other universities","Male",7000,1.234,8638,"Yes","Took the Job because of the free travel (Allowance+Lounging)."
2019,"Media and Communication","University of Santos Tomas","Female",16000,1.08,17280,"Yes",""
2018,"Media and Communication","N/A (Unspecified)","Female",13500,1.136,15336,"No",""
2017,"Finance","De La Salle University - Manila","Female",14000,1.168,16352,"No",""
2009,"Media and Communication","University of the Philippines - Diliman","Female",18000,1.477,26586,"No",""
2009,"Other industries","UP System University","Male",17000,1.477,25109,"No","Additional benefits of up to 10k/month"
2018,"Transportation","N/A (Unspecified)","Not specified/Unclear",9000,1.136,10224,"No",""
2019,"Advertising","UP System University","Female",19000,1.08,20520,"No",""
2015,"Marketing","Other universities","Female",20000,1.191,23820,"Yes",""
2018,"Business Process Outsourcing","Ateneo System University","Male",10000,1.136,11360,"No","Offer was 12k, but when I started it went down to 10k then gradually increased per 6 months to 15k because of ""Misunderstanding"""
2015,"Startup","University of the Philippines - Los Baños","Male",15000,1.191,17865,"No",""
2017,"Advertising","Other universities","Female",16000,1.168,18688,"No","Actual salary is around 12k but then it's added with 4k allowance"
2018,"Marketing","Ateneo de Manila University","Male",28000,1.136,31808,"No",""
2006,"Manufacturing","Other universities","Female",8000,1.736,13888,"No","I started working even before I graduated so I was not given even the minimum wage. By the time I graduated in 2008, they just extended my contract which I found unfair, so I applied to another company (gaming). Salary was 10,000 plus 1,000 comms allowance monthly, full hmo benefits and governed benefits included. In 2010, I moved to a KPO and they offered me 27,000 and I was still considered fresh grad. "
2016,"Consulting","Other universities","Male",12000,1.183,14196,"No","I was hired due to overwhelming small-projects at Taytay, Antipolo, & Cainta. Only a group of 6 Architects & 6 Engineers including I were part of the team. Our head was an Architect & Pastor maybe the reason for small basic salary? LOL. Although it can ramp-up to 24k per month once you handle larger projects ~5M but for small-projects only basic with no over-time pay. SAD. I left after 6mos. Now I'm working as Project Engineer of a better company, salary around 20k basic to 45k for high output monthly. "
2019,"Business Process Outsourcing","N/A (Unspecified)","Male",12000,1.08,12960,"Yes","The offer is reasonable to the workload tho it doesn't make up to the stress the environment have dealt"
2019,"Technology","Polytechnic University of the Philippines - Manila","Female",20000,1.08,21600,"No",""
2018,"Retail","University of Santos Tomas","Male",15000,1.136,17040,"Yes","I asked for the JD and thought the salary was too low considering the task to be dun, I was told that the salary is not negotiable. "
2019,"Arts and Design","University of the Philippines - Los Baños","Male",16000,1.08,17280,"Yes","The offer was too low for me but at that time I was really desperate to find a job. I also know that I can be promoted to the job i want i a few years, which is why I took the offer despite the dismal salary"
2018,"Non-Profit Organization","De La Salle University - Manila","Female",21000,1.136,23856,"No",""
2018,"Technology","University of Santos Tomas","Female",25000,1.136,28400,"No",""
2020,"Business Process Outsourcing","University of Santos Tomas","Male",60000,1.053,63180,"Yes","Their salary range for this entry-level position is 50,000 to 60,000. I told them I need the full 60,000 in order to make ends  meet while staying punctual because the workplace is heavily congested with Metro Manila traffic. I argued that if I could be punctual, I would be more effective and productive. And so, the P60,000/month was granted. "
2017,"Utilities","University of San Carlos","Female",8052,1.168,9404.736,"No",""
2013,"Technology","N/A (Unspecified)","Not specified/Unclear",8000,1.265,10120,"No","When you teach in the higher ed, your salary is on an hourly basis, so long as you are a part time teacher. HOwever, when you decide to go full-time, you undergo a probationary period, which entitles you to benefits like sss, philhealth, etc (this depends on the school where you're teaching), and a basic starting pay of 10-15k (again depends on the school). In higher ed, you become full time-regular when you *atleast* finish your masters/graduate school degree. I wrote 8k, as a starting, but it varied, because I started as a part time instructor, and on an hourly rate. My monthly would be at about 6-8k back then, and this was pre-TRAIN law days, so we got taxed still. If you had a salary of 8-13/14k now, you won't be taxed."
2019,"Construction and Engineering","University of Santos Tomas","Female",26400,1.08,28512,"No",""
2017,"Non-Government Organization","Ateneo de Manila University","Female",18000,1.168,21024,"No",""
2019,"Logistics","Ateneo de Manila University","Female",38000,1.08,41040,"No",""
2016,"Marketing","Other universities","Male",10000,1.183,11830,"No",""
2016,"Research","UP System University","Female",23000,1.183,27209,"No",""
2018,"Other industries","Other universities","Female",18500,1.136,21016,"No","Graduated with honors. Those who graduated without received a lower offer."
2017,"Other industries","Ateneo System University","Female",50000,1.168,58400,"Yes","At first they only offered me 35,000. So, always negotiate."
2014,"Other industries","Other universities","Female",10000,1.234,12340,"Yes","The 10,000/month salary had deductions from SSS, Philhealth, Pag-ibig and Tax. Which gives me 8,000 per month. I get my salary every 15th and 30th of the month, and I had to survive with 4,000 cut off. I have to pay rent, transportation, give back to parents and basically other bills like internet and postpaid plans. This leaves me with less than 2k per cut off for daily allowance. 

Transportation takes three rides, one jeepney ride (8.00php), one trike (15.00php-20.00php) and one bus to go inside the industrial park (13.00php). Multiply by 2 and then do it for five days.  

There aren't any cheap ""karenderya"" around the office nor do they sell cheaper food inside the canteen, so I opt to buy cooked food from canteens before I get inside SBMA. Just to make sure my allowance stretches out.  

Savings is just a dream. It's never achieved during this time. "
2019,"Research","Polytechnic University of the Philippines - Manila","Female",36000,1.08,38880,"No",""
2019,"Logistics","University of the Philippines - Diliman","Male",38000,1.08,41040,"No",""
2018,"Research","Ateneo de Manila University","Male",24000,1.136,27264,"No",""
2012,"Media and Communication","N/A (Unspecified)","Female",13000,1.3014,16918.2,"No",""
2019,"Business Process Outsourcing","Polytechnic University of the Philippines - Manila","Female",18000,1.08,19440,"No",""
2019,"Healthcare","Other universities","Female",12000,1.08,12960,"Yes","I was hired as a Nutritionist-Dietitian as that was my profession. Working 10 hours a day, 6 days a week with no holidays. 10 hours isn’t even a guarantee as sometimes we work over 12 hours. No sick leaves, no vacation leaves, no emergency leaves. If we were to file a leave, it was always a no work no pay. The sad part is, I wasn’t able to practice my profession as I was tasked to work all around, I ended up being a medical assistant."
2014,"Construction and Engineering","University of Santos Tomas","Female",12000,1.234,14808,"No","According to my elders, it was bad manners to ask for higher salary if I was a fresh grad (no experience outside of OJT)"
2017,"Accounting","University of San Carlos","Female",19000,1.168,22192,"No",""
2020,"Other industries","UP System University","Male",30000,1.053,31590,"No",""
2019,"Manufacturing","UP System University","Male",25000,1.08,27000,"No","Should have haggled "
2018,"Construction and Engineering","Other universities","Female",12000,1.136,13632,"No","My actual salary was day to day basis, not fixed monthly. It was 500 pesos per day."
2008,"Hospitality","University of the Philippines - Diliman","Female",10000,1.599,15990,"No","The office was in Makati and I had to travel daily to and from Dasmarinas, Cavite. I really believed that I did not have the right to negotiate, as a fresh grad. :("
2018,"Food","University of the Philippines - Diliman","Female",36000,1.136,40896,"No",""
2019,"Technology","Ateneo de Manila University","Female",20000,1.08,21600,"No","My contract said I would only do BA tasks but now I feel like they're taking advantage of me by forcing me to manage and lead projects (technically, more and harder tasks) without giving me a raise for it."
2018,"Academe & Education","Other universities","Female",8000,1.136,9088,"Yes","Teachers in the Philippines aren't really treated like humans. How do they expect me and my family to survive with me being the breadwinner with a salary of 8k per month in Quezon City even? I was already a licensed teacher when I joined that private school and was still paid that rate. I had to handle an entire year level with 4 sections with a minimum of 45 students each. I can't even complain because people would say ""You chose that path"" Guess what? If I didn't, then who would? If I weren't here suffering then somebody else would be. What I paid for my education, board exam review is more than what I'm earning right now. Honestly I feel like it's a waste. Loving what you do and being passionate about the field you're in doesn't even help your case when your job is like this. If this continues,  I'm quitting. I want to help our country but if doing so won't feed me and my family, I can't do it this way. Maybe I'll just volunteer. From a suffering person, honestly the salary in call centers sounds like an attractive option right now."
2011,"Business Process Outsourcing","Other universities","Male",12000,1.365,16380,"No","It is what they have offered. They did not asked me of my expected salary."
2007,"Non-Profit Organization","Ateneo System University","Female",7500,1.645,12337.5,"No","I was a Writer/Reporter for Bantay Bata 163 Davao, under the ABS-CBN Foundation Inc. "
2009,"Business Process Outsourcing","Other universities","Female",22000,1.477,32494,"No",""
2016,"Academe & Education","Other universities","Female",19000,1.183,22477,"No",""
2019,"Government","Polytechnic University of the Philippines - Manila","Female",30531,1.08,32973.48,"No","Its a contract of service, higher pay means no benefits other than your salary. No christmas bonus etc. No SSS, Philhealth and all. Contract can be terminated by employer anytime. After finishing the contract, renewal is subjective.

No job security. Having a good pay but permanent position is way better than having a high one but no certainty if it would last long."
2019,"Construction and Engineering","Other universities","Female",14000,1.08,15120,"No",""
2012,"Manufacturing","Other universities","Female",25000,1.3014,32535,"Yes","I tried to ask if they could increase it but was told no but emphasized on other benefits (health insurance, product allocation per month, MNC so opportunity to be sent overseas for work)"
2018,"Startup","Ateneo de Manila University","Female",32000,1.136,36352,"No",""
2016,"Finance","Other universities","Female",24000,1.183,28392,"No",""
2016,"Manufacturing","UP System University","Female",17500,1.183,20702.5,"No","It's an entry level job but a ""managerial"" position on paper so we weren't allowed overtime pay. It was normal company culture for us to work 10-13 hrs a day, 6 days a week. "
2018,"Technology","University of Santos Tomas","Female",26000,1.136,29536,"No","Base salary other allowances and bonuses not included"
2016,"Consulting","Other universities","Male",23000,1.183,27209,"No",""
2012,"Architecture","Ateneo System University","Male",4800,1.3014,6246.72,"No",""
2000,"Government","UP System University","Male",7509,2.231,16752.579,"No",""
2013,"Media and Communication","Ateneo de Manila University","Female",16000,1.265,20240,"No",""
2019,"Technology","Ateneo System University","Male",15350,1.08,16578,"No","I was traveling IT support for various companies like JFC(Jollibee Food Corporation), SSS, ETC. I have a base allowance of 3000 for other necessities including transportation, food, and printing. It was a tiring job because I start at 8 PM and finish my shift at 6 AM the next day. I left because I have no growth in the company."
2017,"Finance","Ateneo de Manila University","Female",15000,1.168,17520,"No","didn't negotiate since it was a field that wasn't really related to my degree (however, still try especially if you're good at writing and in creatives - this kind of job takes a lot of your time as well especially if you're in digital)"
2019,"Law","Ateneo System University","Female",40000,1.08,43200,"No",""
2017,"Academe & Education","N/A (Unspecified)","Female",20000,1.168,23360,"No","This was offered to me at my last year of high school. The schedule was very flexible and only 4 hrs a week. Resigned because I have to start college."
2019,"Academe & Education","Ateneo System University","Female",12750,1.08,13770,"No",""
2018,"Retail","University of Santos Tomas","Male",17000,1.136,19312,"No",""
2018,"Human Relations","De La Salle University - Manila","Female",14000,1.136,15904,"Yes",""
2018,"Construction and Engineering","De La Salle University - Manila","Female",25000,1.136,28400,"No",""
2019,"Non-Government Organization","Other universities","Female",14000,1.08,15120,"No","I didn't because I just graduated so I was told that was already big for a fresh grad."
2018,"Technology","Other universities","Male",30000,1.136,34080,"Yes",""
2019,"Food","N/A (Unspecified)","Male",4000,1.08,4320,"No","I am undergrad, haven't graduated, and always struggling to find a new job so I can help my parents all the while while trying to finish my degree :("
2019,"Technology","Other universities","Female",35000,1.08,37800,"No","In jobsearch websites, I only applied to those jobs offering my desired salary and above. But to back this up, I was an honor student and I have a good portfolio."
2015,"Government","University of the Philippines - Diliman","Female",25000,1.191,29775,"No",""
2017,"Academe & Education","De La Salle University - Manila","Female",12000,1.168,14016,"No","Since it was my first job, I didn't feel comfortable enough to negotiate. :( Also, I wasn't regularized in the company so I cannot say if this was what regular employees received as well."
2017,"Hospitality","University of the Philippines - Los Baños","Male",29000,1.168,33872,"No",""
2018,"Other industries","University of Santos Tomas","Male",25200,1.136,28627.2,"No",""
2011,"Business Process Outsourcing","Other universities","Male",11000,1.365,15015,"Yes",""
2019,"Retail","Other universities","Female",11700,1.08,12636,"No","The salary was a provincial rate."
2018,"Transportation","University of Santos Tomas","Male",50000,1.136,56800,"No",""
2019,"Human Relations","N/A (Unspecified)","Not specified/Unclear",13000,1.08,14040,"No",""
2019,"Other industries","Other universities","Female",40000,1.08,43200,"No","I'm an ECE graduate and I'm working for a Japanese company here in QC. It is the only job that offered above 30k. Other jobs which offered higher than 30k were different jobs already (Marketing, Management Trainee roles, etc.). I wanted to work for PH goverment but there were a lot of problems such as late release of pay that I cant afford to experience. The starting pay was high but our allowance is only 4k. In other companies, allowances are much higher compared to base pay to refrain from paying taxes ( 20k base pay + 30k allowance). The downside is, I didn't know how much allowance jobs are giving when I was still applying. "
2017,"Manufacturing","De La Salle University - Manila","Male",21000,1.168,24528,"No","Semi-con/Electronics Manufacturer in Laguna. Tied down to stay in the company for 2 years. Was promised 6-months worth of trainings. Trainings you can find in YouTube were better....and FREE. Definitely felt like I was scammed of 2 years of my life."
2005,"Government","Other universities","Female",6000,1.849,11094,"No",""
2018,"Construction and Engineering","University of Santos Tomas","Male",20000,1.136,22720,"Yes",""
2015,"Manufacturing","Other universities","Male",15000,1.191,17865,"Yes","I was kind of disappointed by my salary but I need to start somewhere. Industry jobs are really stressful but not well-compensated. I work at a government agency today and never expected to be fulfilled."
2019,"Healthcare","University of the Philippines - Los Baños","Female",27000,1.08,29160,"No",""
2019,"Oil and Gas","University of the Philippines - Diliman","Male",35000,1.08,37800,"No",""
2018,"Other industries","Other universities","Female",21000,1.136,23856,"No",""
2015,"Consulting","University of the Philippines - Diliman","Female",34000,1.191,40494,"No",""
2015,"Technology","Other universities","Male",35000,1.191,41685,"No",""
2017,"Healthcare","Other universities","Female",11800,1.168,13782.4,"No",""
2013,"Technology","Other universities","Female",12000,1.265,15180,"No","My first company was a recruitment agency that supplies technical consultants to different companies. The offer comes with a work HP laptop that will be mine after 6months or regularization period."
2018,"Government","University of the Philippines - Diliman","Female",30000,1.136,34080,"No","Contractual, every 6 months, with no per diem pay during fieldworks. Can get delayed up to 3 months."
2019,"Government","University of Santos Tomas","Female",17730,1.08,19148.4,"No","Salary Grade 7 (15,730) Gross Salary + 2,000 allowance every month"
2016,"Research","Other universities","Female",17000,1.183,20111,"No",""
2007,"Finance","Other universities","Female",14500,1.645,23852.5,"No",""
2019,"Media and Communication","Other universities","Female",20000,1.08,21600,"No","My salary ranges from 20,000-24,000 because of my transpo allowance"
2011,"Finance","University of Santos Tomas","Female",10000,1.365,13650,"No",""
2019,"Startup","Other universities","Not specified/Unclear",14499,1.08,15658.92,"No",""
2013,"Technology","Ateneo System University","Male",18000,1.265,22770,"No",""
2018,"Academe & Education","Ateneo de Manila University","Female",14000,1.136,15904,"Yes",""
2004,"Business Process Outsourcing","N/A (Unspecified)","Male",12500,1.938,24225,"No","Ran away from home Dec 2003; found my first job in a call center in March 2004. In a much, much better place now."
2012,"Human Relations","University of Santos Tomas","Female",12000,1.3014,15616.8,"No",""
2019,"Government","University of the Philippines - Los Baños","Female",34000,1.08,36720,"No",""
2014,"Technology","University of the Philippines - Los Baños","Not specified/Unclear",26000,1.234,32084,"No","Salary indicated is above average at that time. I think IT companies today offer higher salary now for IT entry-level positions."
2019,"Business Process Outsourcing","Other universities","Female",12000,1.08,12960,"No",""
2019,"Finance","Ateneo System University","Female",19400,1.08,20952,"No",""
2019,"Technology","Other universities","Male",19000,1.08,20520,"Yes","-"
2019,"Accounting","N/A (Unspecified)","Female",9000,1.08,9720,"No",""
2010,"Advertising","Ateneo de Manila University","Female",20000,1.417,28340,"No",""
2018,"Other industries","Other universities","Female",14500,1.136,16472,"No",""
2018,"Academe & Education","University of Santos Tomas","Female",18000,1.136,20448,"Yes","After 6 months of working, I negotiated higher pay as I was doing more than I was asked for. It got increased to 21,000. But nah, I left that job bec management was crap."
2016,"Media and Communication","Other universities","Female",20000,1.183,23660,"No",""
2018,"Non-Government Organization","Other universities","Female",18000,1.136,20448,"No",""
2018,"Government","Other universities","Male",9000,1.136,10224,"No",""
2018,"Utilities","University of the Philippines - Diliman","Male",30000,1.136,34080,"No","It was just a part time job. My actual first full time work salary was 40k. "
2015,"Healthcare","Other universities","Female",8000,1.191,9528,"No",""
2016,"Technology","Mapua University - Intramuros","Male",25000,1.183,29575,"No",""
2018,"Technology","Ateneo de Manila University","Male",37500,1.136,42600,"No",""
2019,"Government","University of the Philippines - Diliman","Female",17896,1.08,19327.68,"No",""
2012,"Finance","University of Santos Tomas","Male",10700,1.3014,13924.98,"No",""
2016,"Telecomumunications","Polytechnic University of the Philippines - Manila","Female",15000,1.183,17745,"No",""
2012,"Technology","Polytechnic University of the Philippines - Manila","Female",65000,1.3014,84591,"Yes",""
2017,"Academe & Education","University of the Philippines - Los Baños","Female",30000,1.168,35040,"No",""
2016,"Other industries","UP System University","Female",21000,1.183,24843,"No","After tax, I only receive 18000. Company does not give any allowance."
2017,"Retail","Other universities","Female",17000,1.168,19856,"Yes",""
2018,"Accounting","Other universities","Female",16000,1.136,18176,"No",""
2015,"Business Process Outsourcing","Other universities","Male",16500,1.191,19651.5,"Yes","Yes, In a way that I assess myself based on my experiences and qualifications. "
2013,"Academe & Education","Other universities","Male",6000,1.265,7590,"No","Government school but not DepEd funded."
2018,"Healthcare","Other universities","Female",18000,1.136,20448,"No","18000 was basic salary and there were rice (2000) and transpo (6000) allowances. Other benefits included health insurance, vacation and sick leaves"
2020,"Consulting","De La Salle University - Manila","Female",20500,1.053,21586.5,"Yes",""
2018,"Business Process Outsourcing","UP System University","Male",15000,1.136,17040,"No","My interest and skills weren't for for the job. Opportunities aren't available enough"
2015,"Media and Communication","University of the Philippines - Diliman","Female",12000,1.191,14292,"No",""
2016,"Business Process Outsourcing","Other universities","Male",18000,1.183,21294,"No",""
2018,"Construction and Engineering","N/A (Unspecified)","Not specified/Unclear",23000,1.136,26128,"Unspecified",""
2017,"Transportation","Mapua University - Intramuros","Female",23000,1.168,26864,"No",""
2016,"Academe & Education","FEU System University","Female",14078,1.183,16654.274,"No",""
2015,"Technology","Other universities","Female",19000,1.191,22629,"No",""
2017,"Healthcare","FEU System University","Female",10000,1.168,11680,"No",""
2019,"Media and Communication","University of the Philippines - Diliman","Female",106000,1.08,114480,"No","Working overseas so school didn’t really matter"
2018,"Manufacturing","University of San Carlos","Female",13000,1.136,14768,"No",""
2014,"Human Relations","Ateneo de Manila University","Female",18000,1.234,22212,"No","I was looking for work while transitioning to Law School. I didnt really mind the salary as I was easily accepted and I just needed added income while waiting to start class. Was employed in that company for 9 months, eventually got raises after a few months. This was a rank and file position."
2016,"Healthcare","Other universities","Not specified/Unclear",15000,1.183,17745,"Yes",""
2019,"Government","Ateneo System University","Female",25000,1.08,27000,"No","Started as a field staff member in June 2019. Got promoted after my first contract expired. But very heavyweight work and work hours aren’t limited to the usual 9-5."
2014,"Healthcare","De La Salle University - Manila","Female",21000,1.234,25914,"No",""
2012,"Retail","Other universities","Female",15000,1.3014,19521,"No",""
2014,"Technology","University of the Philippines - Los Baños","Female",25000,1.234,30850,"No",""
2007,"Technology","University of the Philippines - Diliman","Female",15000,1.645,24675,"No",""
2014,"Government","Other universities","Female",18000,1.234,22212,"No","Contractual in Gov't: No SSS, GSIS, Healthcard etc. No overtime pay as well"
2011,"Business Process Outsourcing","UP System University","Not specified/Unclear",12000,1.365,16380,"No",""
2017,"Business Process Outsourcing","De La Salle University - Manila","Male",25000,1.168,29200,"Yes",""
2019,"Academe & Education","Other universities","Female",24000,1.08,25920,"No",""
2011,"Real Estate","Other universities","Male",14000,1.365,19110,"No",""
2019,"Business Process Outsourcing","Other universities","Female",36000,1.08,38880,"No","n/a"
2010,"Advertising","Other universities","Male",12000,1.417,17004,"Yes","I was expecting P15-20K as a starting considering my academic and leadership achievements. I graduated frkm Cebu and that first job is in Manila. It's difficult to compete. 12K is gross. Im in Manila nett is 9K. I was living alone in a bedspace, food, transpo. I barely survived. Hahaha "
2019,"Other industries","Other universities","Male",13600,1.08,14688,"No",""
2017,"Government","UP System University","Female",30000,1.168,35040,"No",""
2017,"Construction and Engineering","University of the Philippines - Diliman","Female",14000,1.168,16352,"Yes","My salary as a new employee was 14k, with an offer of paid SSS, free lunch and bonus when we finish a project. Medical card wasn’t even included in the offer and we have to pay our own tax. But now my employer said they will apply for a med card for their staff (which I’ve been waiting until now). My current salary now is 22k. We often get raise based on our performance but according to my employer they will still need to check if they need to raise my salary given that I will now have a med card. The judgment is up to you."
2018,"Business Process Outsourcing","Other universities","Male",13500,1.136,15336,"No",""
2019,"Business Process Outsourcing","Other universities","Female",36000,1.08,38880,"No","Fresh grad last year so I did not negotiate the pay. Also it isn’t an entry-level job"
2017,"Retail","Ateneo System University","Female",16000,1.168,18688,"No",""
2008,"Research","University of the Philippines - Diliman","Male",15000,1.599,23985,"No",""
2014,"Utilities","Ateneo System University","Not specified/Unclear",48000,1.234,59232,"No",""
2019,"Technology","University of San Carlos","Male",12000,1.08,12960,"No","The company did not ask me if I was fine with the job offer. My salary in that company was way below the pay grade despite the heavy work load. Companies should be clear and honest with job description, and not telling applicants lies that would lure them to sign the job offer. "
2013,"Retail","Polytechnic University of the Philippines - Manila","Male",13000,1.265,16445,"No","Minimum wage earner only with overtime pay and no additional benefits"
2016,"Technology","University of the Philippines - Los Baños","Female",25000,1.183,29575,"No",""
2017,"Research","University of the Philippines - Diliman","Female",23000,1.168,26864,"No",""
2017,"Advertising","Ateneo de Manila University","Female",30000,1.168,35040,"No",""
2018,"Finance","Other universities","Female",15000,1.136,17040,"No","My expecting was 15k, and it was exactly what they offered to that certain level of job so I didn’t need to negotiate. My school was also prioritized. It was in the 2nd preferred schools, while UP Ateneo UST and La Salle were 1st preferred and even given high ranking jobs as fresh graduates"
2019,"Advertising","Other universities","Female",20000,1.08,21600,"Yes","I freelanced after my internship with the same company."
2017,"Healthcare","Other universities","Male",3500,1.168,4088,"No",""
2016,"Technology","N/A (Unspecified)","Not specified/Unclear",5000,1.183,5915,"Unspecified",""
2016,"Technology","Other universities","Male",20000,1.183,23660,"No",""
2016,"Finance","Other universities","Female",29000,1.183,34307,"No",""
2015,"Finance","Other universities","Female",10800,1.191,12862.8,"No","I had no idea about first pays. So people told me I'm already blessed to be accepted in a top bank. I was so naive. Haha"
2014,"Advertising","University of the Philippines - Diliman","Male",18000,1.234,22212,"No",""
2020,"Construction and Engineering","University of the Philippines - Diliman","Female",17000,1.053,17901,"No","actually, I only took this even though I had another job offer as a junior architect bc the other junior architect job posts offered only 12-13k for their starting salary. In one interview, I tried negotiating, but they said ""Alam mo, kahit yung mga taga-UP dito nagstart sa 13k"" (as if that justifies it) lol."
2017,"Government","Ateneo de Manila University","Male",25000,1.168,29200,"No",""
2013,"Business Process Outsourcing","Other universities","Female",18000,1.265,22770,"No",""
2019,"Accounting","Polytechnic University of the Philippines - Manila","Female",20000,1.08,21600,"No",""
2015,"Media and Communication","N/A (Unspecified)","Female",15000,1.191,17865,"No",""
2018,"Marketing","Other universities","Female",18500,1.136,21016,"No",""
2017,"Finance","Ateneo de Manila University","Male",27000,1.168,31536,"No","15mo+2mo performance"
2012,"Media and Communication","Ateneo de Manila University","Male",18000,1.3014,23425.2,"No",""
2018,"Manufacturing","Other universities","Female",16000,1.136,18176,"No",""
2018,"Construction and Engineering","Other universities","Male",14000,1.136,15904,"No",""
2018,"Manufacturing","University of the Philippines - Diliman","Female",70000,1.136,79520,"No",""
2019,"Construction and Engineering","Ateneo System University","Female",4000,1.08,4320,"No","Archiectural apprentices are only paid a minimum of 200 pesos per day or 22.50 pesos per hour depending on the company. Even if we have graduated the 5-year course, we're still underpaid on the basis of gaining introductory construction experience before taking the board exam. We're basically working a 9 to 5 job on 200 pesos. (Job usually includes going to construction sites and making plans for actual projects). We can't really ask for more, since we're only apprentices. "
